Site,Month,Daily Mean,Rainfall,Humidity
SH,1,4.8,2.929,74
SH,2,6.6,2.327,73
SH,3,10,3.693,73
SH,4,15.3,2.921,72
SH,5,20.7,3.327,72
SH,6,24.4,7.157,79
SH,7,28.6,5.736,77
SH,8,28.3,8.413,78
SH,9,24.9,3.429,75
SH,10,19.7,2.189,72
SH,11,13.7,2.059,72
SH,12,7.6,1.728,71
